,hodnotenie,hodnotenie_numeral,komentar,id
10,negativní,2,"+ nerez + cena - spinac - otevirani
",e674760eb70246722bd7c7d4fccedb5c5bf0f00874a1aee0392556036472e208
11,negativní,2,"+ pelíšek je vzhledově pěkný, pejskovi se v něm líbí - špatně se zbavuje nečistot, je promokavý, za ty penízky by mohl být lepší, po tomto zjištění bych asi příště nekupoval
",a886b83e70f152e2160f06b91881e1c2ae548499944d152166377693bb1e9c70
12,negativní,2,"+ pohodlné ovládání, ergonomie, design - malý výkon, čili pomalejší ohřev vody
",8258a8ca0f342af27eddb95fcd659ef6335cb5150ecf379ff7bfb967299e4018
13,negativní,2,"+ těsní - těžko se otvírá (hladký povrch, není za co vzít)
",1822f4aa959db8ef0b5f7a30779a19fd056c9ee5479bd92302228d7db74663e1
14,negativní,2,"+ velká kapacita + USB port (takže žádné zbytečné kabely navíc) + nabíjí se přes PC, takže už žádné zbytečné starosti s bateriemi - nefunguje mi funkce lyrics - gumový obal se téměr už po prvním týdnu začal loupat & nevypadá to zrovna pěkně - pomalé nahrávání souborů
",aa47189c236752733c8284301d4c8d51fa9e60d6da996fc2858ed4d941713edd
15,negativní,2,"+ velké číslice, dobrá čitelnost, příznivá cena - náchylnost k poruchám na frekvenci 433 MHz, na delší vzdálenost vypadává
",2a9c7ecae4fbfc3de9111b71746cf6d927b6b0fe6fcddfb598c3f0b2da6eeed7
16,negativní,2,"+ velmi pěkný vzhled vysavače a praktická výsuvná hubice - vysavač je extrémně hlučný, což byl důvod našeho vrácení Velmi kladně hodnotíme možnost vrácení zboží a rychlé vyřízení ze strany MALL.cz
",0602d305670177c2c5490a12142da96be38e57a8d5fc356329c744a47bb0c837
17,negativní,2,"+ vypadá pěkně + prostorná + kapsička a držák na pití + lze sklopit mírně dozadu, aby dítě mohlo lépe spát - velmi umělý povrch - výlisek pod polstrováním má ostré hrany a trhá polstrování (proto proběhla reklamace, po obdržení nové sedačky jsem ručně pilníkem hrany obrousil :) dodo dodělej doma, kde udělal pan Čína chybu?) - vedení pásu zadrhává a špatně se pás vytahuje
",ae8c6bfc28ab0ac7c584553b264f4760dc760231462d6bfe5fb3c2ec66058cd8
18,negativní,2,"+ černá + bez zbytečností -na ohřev jídel bohatě postačuje - Nerovnoměrný ohřev - Nečitelná ryska nastavení na otočných knoflících
",bbd03f7b2d12c5cf7567d41c6af8dba7e4cd2c5180c9663131ca8831ed89bba5
19,negativní,2,"- Vhodné pouze pro poslech mluveného slova, nebo televize. Pro poslech hudby mají sluchátka malou dynamiku a snadno se přebudí. - Poměrně značně slyšitelný šum. - Možnost volby pouze ze 2 kanálů, což je problém zejména na sídlišti, protože sluchátka mají velký dosah. Nezřídka se stává, že slyším televizi od několika sousedů. - Vysílání je analogové a kdokoliv se může na váš vysílač naladit. Tedy nedoporučuji používat např. se skype.
",6a5a240d4e55b4a60a87164102d74558f0a2c35e5e791983f0375429e7498f5f
20,negativní,2,"- Zvukově překvapí a jsou skvělé - mikrofon v rámci možností kvalitní - z mého pohledu vadí snad jen nepohodlí při delším nošení ...
",e93797da68a544971bd49130e138f277add58302f3bd7214f6183c99f4a6afcb
21,negativní,2,"- káva není horká, kávovar je hlučný a dlouho se nahřívá + káva je dobrá s bohatou pěnou, napěňovač mléka je dostačující
",dde923807e49fe514127d4318bccd3e425ac7b4f075eff5afe59196d9257c784
22,negativní,2,"- malá - na běžné lehátko špatně tvarovaná - v porovnání s ostatními drahá - bez teploměru
",4e675cdb628891b722c685c02cebac94c11a6eeed25697cd1feae113805e2e60
23,negativní,2,"- nevstřebávání vlhkosti - moče a tím zároveň větší spotřeba. Po uklízení záchůdku, cca 2xdenně je vždy potřeba záchudek vymýt nebo vytřít. ( máme zakrslého, angorského teddy beránka)
",26ab7bd849094d96b526ff5046fe26c24e8e8d9a3aaf8c535d31a82102d181ff
24,negativní,2,"- s výrobkem jsem spokojena jen částečně - hračka je přiměřeně velká, pestrá, lehká, příjemná na omak, při pohybu vydává příjemný chrastivý a šustivý zvuk - na výrobku se mi nelíbí klip k uchycení hračky, který je velmi pevný a obtížně se nasouvá na různé předměty. Průměr klipu je neměnný, takže hračka sjíždí z hrazdičky či oblouku na kočárku dolů do strany. Tento problém jsem vyřešila tak, že jsem klip odstranila a našila místo něj suchý zip a hračka jde upevnit kamkoliv. V této podobě jsem s ní spokojena maximálně.
",a8695f46517c2bf28d75a6f3c3ec53ad1fd70302f18401826a6c5611bbb6397f
25,negativní,2,"- těžké, celkem nepraktické při skládání a manipulaci, špatná plocha pro odkládání žehličky (žehlička se nedá postavit) + barva a zásuvka
",f1c2c9cb14dd049a7164cf5f516af654c2e01f2645019c71546f16ce183c8fdc
26,negativní,2,"-konvice má příliš úzke hrdlo pro plnění z důvodu nevhodneho designu, často pak pri plnění teče voda všude kolem -měrka hladiny vody je nejen nevhodně umístěná pod madlem,kdy pokud jste vyššího vzrustu, je zastíněna prave timto madlem, navíc se však přespříliš zapařuje a je tak téměř nečitelná - horní odklápěcí víko pro plnění na svém zadním okraji, kde je uchyceno kloubem, netesní a při dosahovani bodu varu tudy utíka horká pára přímo do okolí vaší ruky, kterou máte připravenou na uchycení po dosazení bodu varu -světelný infikátor je pouze na jedne straně při dolním okraji, kdyz konvici otočíte, není videt! Mel by být umístěn na vrchyní straně Konvice snad bude slouzit dlouhé roky, ale nyní bych si zvolil jineho vyrobce
",f0d3657339d5637e1e21d13213d445534d3bafc2c7df5f7aaa88d8448e15f021
27,negativní,2,"1) POZOR Vyrobce ma dva stejne modely s dvema motory a) no name china - to je tento v prodeji b) Briggs and S. - ma servis,zazemi, overenou kvalitu 2) koupil jsem bohuzel horsi variantu a po pulhodine sekani se motor zaseknul , praskla ojnice a bylo po sekani Doporucuji nekupovat.
",d94e437a5098258e2792fecfa992f0d7b920466911267a94136e0497f2f67e15
28,negativní,2,"1. Kovové skluznice jsou nekvalitně ošetřené a rychle se z odlupuje krycí lak proti korozi. 2. Přinýtování skluznic není zahlazené s rovinou skluznice a vyčnívají. 3. Přední spojky je umělohmotné. Je to spojení několika dílů, za které se celé sáně táhnou i s případným nákladem, asi by byly lepší hliníkové nebo duralové. 4. Asi největším zklamáním pro nás bylo umělohmotné madlo, které se nedůvěryhodně viklalo a vrzalo při sebemenším pohybu. 5. V porovnání se staršími sáněmi z osmdesátých let velký rozdíl, už to není co to bývalo!
",6a76d8773f647d0ebc1b8a306d05aec3cc1588c21ae234c6212befabf09b998a
29,negativní,2,"1. držák nevydržel a při pokusu dát na přední sklo se rozsypal. Reklamace proběhla v naprostém pořádku, obdržel jsem nový kus a jsem spokojen
",b6c6de78fc807228923e9eb2fa75036af791742f26f84b0954c7911c83aa64f8
30,negativní,2,"1.9. a 2.9. měřeno 5+5 x 1000 kroků - počítáním a tímto krokoměrem. Rozdíl 140-300 kroků, takže naprosto nepoužitelný šmejd. Naprosto nedoporučuju.
",a78c8d7a982fe0b1de5fbdae4f6e41cf755258908b16650b69381859dec618ab
31,negativní,2,"16.7. 2012 - zatím není problém
",c236691d0dee5ac73c45e4ac2997802bf1da5b7ae3b0e9d810e8750708848ae5
32,negativní,2,"2 hvězdičky odebírám za hlučnost.
",a35617db25744f4eaa03130feba06a3efc8fe3dd0b515866629c3ff20d255c95
33,negativní,2,"3x běžel a zadřel se. Je na reklamaci...
",ced4d35d243a47983cc5e2431448204481760a63d918e5fc897af4c713c255e8
34,negativní,2,"Absolutní zklamání, po 6 měsících se začal odlupovat povrch, rozhodně nedoporučuji
",2ac01cc7a96a9c1d915d0150234fc5c21942fd7b11a0cd912404ea6a2492493c
35,negativní,2,"Abych pravdu řekla,tak nic moc,má trošku slanou chuť a dlouho trvalo než si na ni malej zvyknul.A taky nam vadilo že je tam 6 balení ale jen jedna příchuť,brzy se to dětem omrzí,stejně jsem musela ještě koupit jinou příchuť a střídat to.Takže příště už asi ne.
",462c4b80877482e2838f3058f98e499ed05a04e1e7769bafd3c71e825e4dc6c9
36,negativní,2,"Ahoj, myslel jsem, že bude zadní část prodloužená na bederku, jak u předešlého modelu, škoda.... Pavel
",ab5e42a5a22d4439ae509c83e81b90fba9f5ed10183b91367f741c8b382041d9
37,negativní,2,"Ahoj, zdravím, designově pěkná, svůj účel plní, ale jednu negativitu má, je příliš hlučná.
",1199c917230943d9972477a328b79e38df5da803ee7e4c4ceee54d2ab80cd8f8
38,negativní,2,"Akumulátory jsou pro termokameru a zatím jsme ji příliš nepoužívali, abychom se mohli odpovědně vyjádřit a doufáme, že bude vše v pořádku
",a37220c44007416f366981ec5b0c5dbbaa7ead701c2e9a899223e714a3a72094
39,negativní,2,"Ano jsem docela spokojena bez mouchy to ale není
",6c72f93157ba7358e83804e58d31764e566cbbc226ad16b791ee91df43e6815c
40,negativní,2,"Ano, ale špatný přístup k dokladům, které nemají standardní rozměr A4. Chybí mi nastavení na český jazyk.
",09346c2f94814cb3174004494af9ae4276aea5cfb2f69c69f7d505916862aff3
41,negativní,2,"Anténa je funkční jen u okna či blízko venkovní stěny. Uvnitř pokoje se obraz ztrácí.
",69e95813209fec77cea25daa5440fc85b186a6f8fd53b579d932c9bc798ee9c8
42,negativní,2,"Asi jsem od tohoto produktu čekal víc.Papíry Foma se mi jeví jako lepší.
",192d0e1ba293bdd2a87e5c6acbea944ebf2058b2ee31b12ab6d0c4a99a87a63c
43,negativní,2,"Asi jsem očekávala něco jiného. Bohužel, Hipp má některé výroby skutečně dobré a některé ne. A toto je právě ten případ. Maso má konzistenci pudingu, také tak vypadá a chutná o hodně hůř. Pro mne je to spíš východisko z nouze, když nemám přístup ke kvalitnímu masu. Syn však jídlo s tím produktem příliš nechce.
",311370ca56df99552601e32afc137f30163deb42afbe98d492d07f8a7013e625
44,negativní,2,"Asi jsou naše kočičky zmlsané. Podle jejich zájmu nic moc.
",7f073ffb4becf96b38141e202dcc37d5cf1f94b25bcc97dc0d8f000bb3629637
45,negativní,2,"Asi spíš nespokojen, pokoj 10m2 se za noc moc zvlhčit nepodařilo, ani podle vlastního ani podle externího vlhkoměru. Má se umět vypnout při prázdné nádržce, ale neumí. V hodnoceních se uvádí, že občas, ale i náš má stejný problém. Display po cca 6hod fce zamlžen a nečitelný. Pokusím se vrátit.
",dc7297a386a66e7644b9486de137d36d8bd0fecb9f1ec016a4b8d3444cb80676
46,negativní,2,"Asi toto hodnocení nezveřejníte, ale přes to vyjádřím svůk názor. Přístroj je na nic. Po otevření lahve plyn okamžitě vyprchá a sodovka je maximálně velice mírně perlivá až vyčpělá. Zase jsme vám naběhli!!!!
",05070fb38c800d0960cb1d90d993ca85df279221d23f28116b3e92eb95975b17
47,negativní,2,"Aspoň pro mě je to nejnešikovnější vysavač v životě. Chtěla jsem ušetřit čas se sestavováním - aby byl hned po ruce a bez hadice, ale se sáčkem pro jednodušší vysypávání. Je hrozně špatně vyvážený (těžiště moc vysoko) a proti malému vysavači s hadicí těžký do jedné ruky, potřeboval by mít 2 držadla jako rudl, jinak z něj za chvíli bolí ruka. Přemýšlím, jestli se ho nemám zbavit
",03bd532b44629769a3ed02fe2d6dd6664254d215c2de1543ffd77ee1ed8d7f72
48,negativní,2,"Autosedačka je moc pěkná, je lehká. Jen má opravdu krátké popruhy na zapínání.Jinak jsem celkem spokojená a dcera také.
",f6281daf7545d0afb4ce0e6bb9b13e4898697f6c25b4bc26da6922d25409c96a
49,negativní,2,"Ač designově moc pěkná, tak v bytě se špatným přijmem signálu naprosto k ničemu - v jedné určité poloze jsem dokázal chytit i kanály ČT, zbytek však byl úplně bez šance.
",3fe7e498fb794f99679e7883375962573f3156d654811937a8e7c0c5aa9cf412
50,negativní,2,"Ačkoliv boty vypadají na obrázku hezky, tak ve skutečnosti jejich kvalita zpracování neodpovídá ceně. Boty jsem ihned vrátil, nechal bych si je tak za poloviční cenu. Nápad oživit značku Botas jsem vítal, avšak záhy jsem byl zklamaný. Čekal jsem i kožený vnitřek boty, ale bohužel... Výsledné hodnocení je takové, že tyto boty si koupí jen opravdový fanda značky Botas, kterých zřejmě nebude tolik :))
",a98583ec7cde34603f9c33ec27ee22f41a8a6d112b7a613a1a75067b9f1beaf5
51,negativní,2,"Ačkoliv boty vypadají na obrázku hezky, tak ve skutečnosti jejich kvalita zpracování neodpovídá ceně. Boty jsem ihned vrátil, nechal bych si je tak za poloviční cenu. Nápad oživit značku Botas jsem vítal, avšak záhy jsem byl zklamaný. Čekal jsem i kožený vnitřek boty, ale bohužel... Výsledné hodnocení je takové, že tyto boty si koupí jen opravdový fanda značky Botas, kterých zřejmě nebude tolik :))
",f811da6d722a01934d1b4adbc6150f19f7d524a1ea9ed36d95e82d2cdcdd4bac
52,negativní,2,"Až na sílu skla můžu doporučit. Sklo je opravdu velice náchylke na jakékoliv sebemenší ťuknutí.
",adee9ca3443557a51da8a36234720f13c4e8bd2d9700ee42d6a54616539f0dbb
53,negativní,2,"Až na sílu skla můžu doporučit. Sklo je opravdu velice náchylke na jakékoliv sebemenší ťuknutí.
",e0a0dda4cb0552cfb50368fd51a6ba96634c799fab1f7af27b0975eefd41df98
54,negativní,2,"Až takový rychlík to není. Svítí hezky, zajímavý design, ale příště za tu cenu budu volit konvici s možností vypínání při různých teplotách (kafe, čaj).
",646943628a74e6fa1b30e1deaf184570a053eed334329562d670495298959f18
55,negativní,2,"BUNDIČKA JE ROZHODNĚ VELMI PĚKNÁ A SLUŠIVÁ ALE TAKY JE TAK NĚJAK ODBYTÁ (MYSLÍM UŠITÍM) TAKY MĚ ZARÁŽÍ, ŽE JE ŠITÁ TÉMĚŘ STEJNĚ ŠIROKÁ JAK DLOUHÁ. DĚTI TAKTO PROSTĚ NEVYPADAJÍ, NEDA TY STANDARTNĚ PROPORCIONÁLNÍ. NA DVOULETÉ DÍTĚ AKORÁT DLOUHÁ, ALE JE TO VELIKOST 104 VE 4 LETECH BUDE DO PASU. ZATO RUKÁVY JSOU NA TO 4 LETÉ DÍTĚ. MÁME ZAHRNUTÉ 2X, ALE NEVADÍ TO. MYSLÍM TA 104 NA 2 LETÉ DÍTĚ. TOŽ TAK NĚJAK
",0440d536bf26dabde2b2ed4f88e75b2faffe9d28654e95e6a7f7ec4a0aac1114
56,negativní,2,"Balon je trošku šišatý. Myslela jsem, že se to srovná, ale ne. Chybí ventilek k nafouknutí.
",bd4a696be745a26ee77aa51d8017d2cee4cd7ddfddfbb99a9e485c192c967555
57,negativní,2,"Barevně a tvarově velmi zajímavý výrobek pro děti. Zvláště zajímavá je pro ně kombinace aktivit, které je možno s tímto nářadím provádět. Máme jen jeden problém a to, že se nepodařilo zašroubovat 3 úchytné šrouby, které drží konstrukci pohromadě. Zřejmě díky nepřesnostem v lisování. Dále bych uvítala silnější modrou plošinu, která se mírně prohýbá i pod 18 měsíčními dětmi. Čáslavová
",77fb27bd56a70afff8e8fd96d0187aa50383f767ff5e41c7b282609d64d2a633
58,negativní,2,"Baterie má neuvěřitelnou výdrž. Fotky vypadají jako z dražšího foťáku. Rychlé a jednoduché ořezávání fotek. Chybí mi funkce brightness. Stabilizátor při 3/4 až max využití zoomu nic moc. První přístroj jsem vrátil, když mi při první zkušební sérii ohlásil ""chyba objektivu"" a odmítl spolupracovat. U druhého přístroje mi asi od šestého týdne používání třikrát při zapínání krátce proběhla displejem ta známá hláška ""chyba objektivu"". Nemusí to znamenat nic tragického, ale přece jen z toho mám nepříjemný pocit a strhávám za to druhou hvězdičku. ... P.S. pro toho, kdo bude hodnocení schvalovat - recenzi jsem psal jen jednu, ale asi se to nějak zkopírovalo jak na ten původní vrácený, tak i na vyměněný přístroj - tak to jedno nějak hoďte do koše.
",f0a5636b411012fa2de28c895676ee84961234b4db691115218a51a799f6f189
59,negativní,2,"Baterie nevydrží, nabíjím každé dva dny, i ta stará vydržela déle...
",f8a096acaba3ae3948d02faacc85097336632c1ec2092ab7ca330a52c6a56b82
60,negativní,2,"Baterie od počátku nedržela kapacitu. Sháněl jsem dostupné informace a zjistil, že baterii je potřebné několikrát na sebou úplně vybít a znovu zcela nabít.Stále čekám, že dojde ke zlepšení, ale ani po třech týdnech nic. Zřejmě budu muset, ač nerad baterii reklamovat.
",a2b62f3ec6af808418ad263ba549eec0e38a6b37655b322b3f5a57365e778f5e
61,negativní,2,"Baterie po vložení do přístroje nefungovala, teprve když jsem se šla zeptat do opravny, jestli je chyba v mobilu, bylo mi řečeno, že nemá ani základní napětí, které je potřeba, aby ji mobil vůbec začal dobíjet. Takže jsem zaplatila ještě stovku za dobití a od té doby začala v mobilu fungovat normálně.
",732ff207678eaac4706db24a4daedce6b3576ca0ca89c05a68594f84a7945968
62,negativní,2,"Batoh se hodí na běžné nošení, je příjemný, hezky sedí. Vložná kapsa na notebook je dost malá, můj laptop (15,6palce) se tam nevejde, respektive vejde, ale víko kapsy už nejde zavřít. Nouzově v něm lze přenášet, ale není to na každodenní nošení počítače. Zipy jdou celkem špatně zavírat. Uvnitř má ale pěkné členění. První malá kapsa obsahuje malou peněženku na karabinku, různé kapsičky na mobil, tužku atd. Prostřední kapsa velká tak na svačinu a největší u zad je právě na notebook. Vzhledově je moc pěkný.
",f70b86bb8a95eca63e006d3c5463cf2938572f4948a6c294c0fa9655732cfcbe
63,negativní,2,"Bez problemu. Prumerna flashka.
",3cd9e5fc64aa265b3b94331a4168f262b5e36cdff88a4930a0e20f8e811dc731
64,negativní,2,"Bez problémů plní co slibuje. Jednoduchá a levná alternativa, vzhledem k nízké kvalitě záznamu na VHS zcela postačující. Při instalaci do Windows XP lépe se neřídit tištěným návodem, ale nejprve stáhnout novější drivery ze stránek výrobce,nainstalovat je a pak teprve připojit zařízení. Po instalaci sw od Cyber Link nespouštět ale nejprve provést upgrade.
",3449966e65c0ee10b7a875482c08e396247ef7a5e47d82299b4c7828629aa200
65,negativní,2,"Boby jsou pěkné. Ale sedátko je hladké, takže při vyšší rychlosti jezdec klouzává. Bohužel nám vydrželi jen jeden víkend. Ale to asi nebude chyba výrobce, ale řidiče. I když jsem čekala od Hamaxu vyšší životnost. I tak doporučuji. Oproti levným bobům jsou opravdu bytelnější a prostorné.
",72d90b099e2dc168910bfb30c84bc70d7187cc706e0fb327e1b2fa74468c113e
66,negativní,2,"Bohužel jsem musela dres vrátit. Dres ve velikosti M (kterou běžně nosám) mi byl velice těsný. Jinak materiál velice příjemný, jemný.
",dd45317bc0755243cb990534961e382046aa067bd9fa47598c4bb77734436997
67,negativní,2,"Bohužel jsem pořídil vadný kus s pošramoceným HDD. Na druhou stranu neuvěřitelně vstřícný přístup mall při vracení zboží. Peníze vrátili okamžitě.
",a5971bfed073a76b74017086b013a38fe39054654bfca61441fc3df3d45edba8
68,negativní,2,"Bohužel jsem se našim kočkám moc nezavděčila,sice konzumují,ale jako delikatesa to pro ně není. Oproti Royalkám jsou granule více suché.
",aeae37475e80e0e6802ebd25871841fab4e3685a499bc9de125be34018eecab3
69,negativní,2,"Bohužel jsem si musel zakoupit nový u nás,jelikož kabel blbnul,jednou jsem byl připojený podruhé ne.Po zakoupení nového v jiném obchodě vše funguje jak má.
",91c2e751dc8540dbf41b598ed4bdd598e358cd394ec065119bf11799e07f5b96
70,negativní,2,"Bohužel mne tento produkt příliš nenadchl. Mám suché vlasy se sklonem ke krepacení a tento kondicionér na ně bohužel nestačil. Čekala jsem hladké vlasy, ale místo toho šly špatně rozčesat. Doporučila bych spíše někomu s normálními vlasy, tomu by mohl vyhovovat.
",b6573dbfa36572c9ecfeff2aee62fae4030d7f208a08287b997abdea70eb3d8d
71,negativní,2,"Bohužel mne výrobek zklamal ve smyslu nedostatečné možnosti konfigurace, na což upozorňovala i recenze. Doporučuji více věřit recenzím. :-) PS. Z hlediska jednoduchosti, zapojení a základní funkčnosti nemám výhrad.
",e5a6b1d710392acad2672d7cf05dc0b2b5fe70a5e2eca0dcb67884dcdafd290c
72,negativní,2,"Bohužel mé nadšení z antény - po vybalení a instalaci měla výborný příjem a na střeše skoro není vidět - trvalo jenom do první bouřky. Signál byl od té doby mizerný a zesilovač v anténě jako by nefungoval (přitom jsme cca 15 km od vysílače s přímou viditelností). Teď je na reklamaci. Koupil jsem si ale ještě jeden kus (s tím, že po vrácení z reklamace nový kus využiji na slováky, kteří mají jinou polarizaci) - světe div se, i druhý kus vydržel jenom do první bouřky... asi smůla.
",afc8fd3220d90e8795f26d0a94e049e1796bb758a18c1c0fbc435fe91cc4479b
73,negativní,2,"Bohužel mě tento produkt zklamal :( U několika hráčů nedoléhá hokejka na hrací plochu a to takovým způsobem, že je nad pukem. S takto ""postiženými"" hráči nelze prakticky hrát ... Chystám se na reklamaci ... :(
",f284e6858fee88161a96104bc8b9839470326af9e6935a354970eada3f44cd65
74,negativní,2,"Bohužel na můj vkus moc často dochází k zamrznutí při přehrávání z USB. jediná šance je pak odpojení elektřiny. Bohužej je to již druhý výrobek od stejné značky, který mě zklamal...
",a872dbe2e569204881b2bca70eef1c0de91cf769741d58d2811840897ea3dbb0
75,negativní,2,"Bohužel nejsem spokojena s následujícími věcmi. V noci působí modré podsvícení rušivě. Vadí mi, že nelze ovladačem zapnout, lze pouze vypnout. Flash disk se načte pouze je-li nově vsazen do USB portu. Jinak rádio hraje pěkně, oceňuji funkci SLEEP. Všechny možnosti přehrávání fungují. Celkově hodnotím produkt dobře.
",839d17cd4ce33612b4deac0d72c8fea3b6c9baaaade61f924558acb85dfc9394
76,negativní,2,"Bohužel nenaplnilo moje očekávání. Síla sprchy jen do 5 stupně je velmi slabá, sítko jsem kontrolovala, jestli není ucpané a tím to nebude. Kartáček je ucházející. Vzhledově mně to taky nenadchlo. Jsem tak zklamaná, že bych to nejraději vrátila a používala nadále již nejméně deset let funkční ústní sprchu Braun samostatnou a el, kartáček samostatný.
",326900e860348ebf1e28c86dc6698efaa318aa8744e21c56083484047fe4cd8b
77,negativní,2,"Bohužel nespokojenost, sáček nejde pořádně uzavřít a po dvou měsících nevidím žádnou změnu na váze ani na srsti. Příště už kupovat nebudu.
",06a34cc9ba89719b2c1b573b8a7668612473c56bb02f5d161b12d6ada40e8279
78,negativní,2,"Bohužel pro Samsung Galaxy Tab 2 7.0 jsou špatně vyřízlé otvory - nesedí na konektor a reproduktory, chybí vyříznutí na sluchátka a mikrofon
",325f10d236d77b0acc8c80dbe9dc072f1603c9f37c5101e372f0840b5de77cc7
79,negativní,2,"Bohužel pro Samsung Galaxy Tab 2 7.0 jsou špatně vyřízlé otvory - nesedí na konektor a reproduktory, chybí vyříznutí na sluchátka a mikrofon
",73c8187577e53d2d754e12a5fad743bfe13457d70e2958b2172753999c42e3b8
80,negativní,2,"Bohužel se varná deska špatně zabudovávala, protože nebyla rovná, byla jakoby prohnutá. Také návod není moc srozumitelný.
",c1a791806ac1411597a4b9d40389c2a868c2e425fab18609c5d2efaf651b0b56
81,negativní,2,"Bohužel tahle anténa mě celkem zklamala je sice designově velice hezká,ale její příjem je slabší než u jiných modelů...nedoporučuji jí někomu kdo má v místě bydliště slabší signál...
",79c7b4c3624acb81337ee6f922ea03b551e6e3ab014b9d5ecbbe1c76c661634f
82,negativní,2,"Bohužel už i SIEMENS je made in china
",1e0afe8a5d64a98980c466ee1b31ad9c878a090caeb3491dc0f24742f40067bc
83,negativní,2,"Bohužel v mém fotoaparátu Nikon coolpix L110 karta nefungovala. Další člen rodiny, který má Nikon D80 je s ní spokojen.
",ea4a29bddb417da6d1eb3391463b585c4ded2b3d366ce2d8be1c7b4b6cde4198
84,negativní,2,"Bohužel vědro neodpovídalo vyobrazení na fotografii. Jinak vše OK.
",e93dbe851469c169e67bf3dee082c096b3ded12befcc86ceb70d34534e6b655d
85,negativní,2,"Bohužel zatím nemohu posoudit, pejskovi dáváme přípravek velice krátce, abych mohla vidět nějaký efekt. Navíc to máme jako preventivní a ne léčebný. Je mu totiž 11 let a pro velké psy začíná riziko pro klouby zadních nohou.
",9be95928f5b43947238f70e54c9b1d9fe7f2d98d2653754f4b38a774ef381eda
86,negativní,2,"Bohužel, netrefila jsem se. vůně je divná a nevydrží..Myslím, že by se měla prodávat maximálně za 300,-Kč.
",c8df08a80e3459ef71c68af486e981a159d5ad90d298c2cf0d733ddad39f8fa8
87,negativní,2,"Bohužel, pračka i na nejnižší teploty pere více než 2 hodiny.
",9270b19517d260556a9501fd5c9018168bf1f1f50635ccb5a89ea167462e0ba9
88,negativní,2,"Bohužel, přípravek nezabírá, vet.lékař nasadil jinou léčbu.
",70dd6af918ef9b87f47ef3a15b5f2bbfcf72ab8298a14f1f0e7ac6bbf14cde2a
89,negativní,2,"Bohužel, přípravek nezabírá, vet.lékař nasadil jinou léčbu.
",8c6cff2791a642b06c26262173d81aeab9fa67450e2d215fb9df79b264885f17
